Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample51	140	SC1	Shanghai	16	8	Control	8527.478495	3009929.195	1624.281618	1082.854412	1289138.178	2775761.928	244048.3131	2301.065626	2550122.14	278699.6543
sample66	141	SC1	Shanghai	16	13	Control	32589.20688	1268519.505	0	1844.672087	4326985.827	15359354.69	291458.1898	4304.234871	7515194.084	234888.2458
sample86	142	SC1	Shanghai	16	19	Control	58240.6978	1427265.708	0	11426.97235	1042434.768	8965749.952	642490.7358	2580.28408	9561426.963	751968.5032
sample101	143	SC1	Shanghai	16	25	Control	11173964.19	4897814.492	11476.5629	8416.146125	4104401.444	3861863.415	699687.7846	8416.146125	2152620.647	1474355.78
sample116	144	SC1	Shanghai	16	31	Control	9741835.107	663591.6935	15452.32922	12018.47828	406911.336	257538.8203	1952144.257	8584.627342	265264.9849	4022756.372
sample2	145	SC2	Shanghai	17	0	Control	37553.17956	107845.0285	0	7703.21632	1963357.26	13371820.63	5132267.873	7703.21632	20266199.24	8300215.585
sample12	146	SC2	Shanghai	17	1	Control	61290.12151	60644.96234	9032.228433	11612.86513	877416.4764	14514791.09	1930961.407	4516.114217	20477352.18	2143218.775
sample22	147	SC2	Shanghai	17	3	Control	56283.89542	19092380.21	0	22072.11585	4330549.13	11441081.25	3335096.705	0	21054591.31	8725107.396
sample37	148	SC2	Shanghai	17	5	Control	43413.79766	789627.769	5662.66926	13842.08041	819199.4863	9279856.546	2489686.918	8808.596626	14051599.18	5826257.483
sample52	149	SC2	Shanghai	17	8	Control	86666.20507	2209988.229	0	0	1087358.55	15349995.76	3342695.375	9069.719136	17722231.19	3856646.126
sample67	150	SC2	Shanghai	17	13	Control	42143.97269	1090863.461	0	7097.932242	2158658.643	11653030.26	1173376.924	3548.966121	5085224.831	1247017.971
sample87	151	SC2	Shanghai	17	19	Control	116180.3237	2198899.154	11724.61982	14389.30615	1668093.639	19628079.46	811663.4542	8526.996236	12562930.14	1458116.356
sample102	152	SC2	Shanghai	17	25	Control	12602835.75	3853517.046	0	6524.473305	1755083.319	1000691.093	233249.9206	4077.795815	1967944.261	703827.5577
sample117	153	SC2	Shanghai	17	31	Control	8370087.934	1961407.092	6929.078533	10513.08467	2426850.023	464726.1292	348365.3966	5973.343563	297233.5757	551459.0777
